fichier ,somme du vecteur ,vecteur associe,
06186-Offre chargeÌ%81 de portefeuilles d'initiatives SI.pdf,20,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,
06187-Consultant JAVA JEE H_F.pdf,74,2;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;7;0;0;0;0;1;2;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;0;0;0;0;1;1;0;0;0;3;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;2;5;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;3;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0,
06188-CONSULTANT TECHNIQUE H_F.pdf,83,1;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;10;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;1;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;1;3;2;0;1;0;0;1;0;0;1;3;0;0;1;0;0;0;0;0;1;0;3;0;0;0;0;0;1;0;0;0;1;0;0;0;3;0;0;0;3;0;0;1;1;0;0;0;1;1;0;0;3;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0,
06189-Consultant Publication Technique H_F.pdf,67,4;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;3;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0,
06190-Consultant SI Projet Agile Center (H_F) H_F.pdf,77,1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;3;0;0;1;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;3;1;0;1;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;1;0;1;0;2;0;0;0;3;0;0;1;1;0;0;0;1;1;0;0;3;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0,
06191-Alternance troubleshooting d_un calculateur F_H.pdf,70,1;0;0;0;3;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;2;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;2;2;1;1;0;0;2;0;0;0;1;0;1;0;0;0;2;0;0;0;4;0;0;1;1;0;0;0;0;0;1;0;1;0;0;2;1;0;0;0;1;1;0;0;1;0;0;2;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0,
06192-Consultant technico-fonctionnel (H_F) H_F.pdf,77,0;0;0;0;2;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;8;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;1;0;0;0;0;3;0;1;0;0;2;0;0;0;0;0;0;0;3;1;0;1;0;0;1;0;0;1;3;0;0;1;0;0;0;0;0;1;0;4;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;3;1;0;1;1;2;0;0;1;1;0;0;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0,
06193-Consultant Big Data en alternance H_F.pdf,88,0;0;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;10;0;0;0;1;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;0;2;0;3;1;1;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;1;2;0;0;1;0;0;0;0;0;1;0;2;0;6;0;0;0;2;0;0;0;1;0;0;1;4;0;0;0;2;0;0;1;1;0;0;0;1;2;0;0;2;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0,
06194-Consultant BI en alternance H_F.pdf,83,0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;10;0;0;0;1;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;2;0;0;1;0;3;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;1;2;0;0;1;0;0;0;0;0;1;0;2;0;3;0;0;0;2;0;0;0;1;0;1;1;4;0;0;0;2;0;0;1;1;0;0;0;1;1;0;0;2;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0,
06195-Consultant Digital Customer H_F.pdf,81,0;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;0;0;0;1;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;3;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;3;0;0;0;1;0;0;0;4;0;0;0;2;0;0;1;1;0;0;0;1;1;0;0;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0,
06196-Consultant Technique Java _ JEE en alternance H_F.pdf,94,1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;0;2;1;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;1;0;0;0;0;4;4;1;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;1;0;1;1;3;1;0;1;0;0;0;0;0;1;0;3;1;0;0;0;0;1;0;0;0;1;0;1;0;3;0;0;0;3;0;0;0;1;0;1;0;1;1;0;0;3;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0,
06197-Consultant BI H_F.pdf,81,3;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;0;3;0;3;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;2;1;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;0;2;0;1;0;0;0;2;0;0;0;1;0;0;0;4;0;1;0;2;0;0;1;1;0;0;0;1;1;0;0;2;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0,
06198-Stage Developpement Java Embarque H_F.pdf,64,0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;2;1;0;0;0;2;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;2;1;0;1;4;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;2;0;1;0;0;0;1;0;0;1;1;0;2;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;2;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,
06199-Alternant en developpement web F_H.pdf,82,4;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;5;0;0;0;1;1;0;0;2;0;0;0;2;0;0;1;1;0;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;1;1;2;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;1;0;0;3;0;0;1;0;1;0;0;0;1;0;2;0;1;1;0;0;1;0;0;1;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0;0;0;0,
06200-Consultant AngularJS H_F.pdf,67,1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;1;1;0;0;0;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;3;0;0;0;1;0;0;1;1;2;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0,
06201-Alternance validation logicielle HPC R_D H_F.pdf,80,1;0;0;0;2;0;0;0;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0;0;1;1;0;0;2;0;0;0;0;1;1;0;2;0;0;0;0;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;5;1;0;0;1;0;0;4;0;1;1;1;0;0;3;0;0;0;0;0;1;0;0;0;4;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;2;0;1;1;0;1;1;0;2;1;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0,
06202-Consultant en developpement Web H_F.pdf,83,3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;1;1;3;0;0;0;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;3;1;2;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;2;0;0;0;1;0;0;0;4;0;1;0;2;0;0;1;1;0;1;0;1;1;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0,
06203-Alternant - monitoring d_un HPC F_H.pdf,70,1;0;0;0;3;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;2;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;2;2;1;1;0;0;1;0;0;0;1;0;1;0;0;0;2;0;0;0;4;0;0;1;1;0;0;0;0;0;1;0;1;0;0;2;1;0;0;0;1;1;0;0;1;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0,
06204-Administrateur SAP BC H_F.pdf,63,0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;1;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;1;1;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;2;0;3;0;0;0;1;0;0;0;1;0;2;0;1;1;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0,
06205-Developpeur Java _ JEE Secteur aeronautique H_F.pdf,87,0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1;1;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;0;0;0;3;3;1;0;0;0;0;0;0;0;0;0;1;2;0;0;1;1;0;1;0;1;1;2;1;0;1;0;0;0;0;0;1;0;2;0;1;0;0;0;1;0;0;0;1;0;1;0;3;0;0;0;2;0;0;1;1;0;0;0;1;1;0;0;2;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0,
06206-Stage Dev Logiciel Java_ OpenSource Defense H_F.pdf,87,2;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;1;1;0;0;1;0;0;0;2;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;0;3;0;0;0;2;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;1;0;4;2;0;1;3;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;1;0;2;0;3;0;0;0;1;0;0;1;1;0;3;1;1;0;0;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0,
06207-Consultant Systemes Critiques H_F.pdf,72,0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;1;2;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;2;0;0;0;1;0;1;0;4;0;0;0;2;0;0;1;1;0;0;0;1;1;0;0;2;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0,
06208-Developpement NTIC en alternance (H_F).pdf,72,2;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;2;1;0;0;0;1;1;0;0;1;0;0;0;2;0;1;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;2;0;0;1;2;1;0;0;0;0;0;0;0;0;0;3;1;1;0;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;1;1;0;1;0;2;0;0;0;1;0;0;0;3;0;0;0;1;1;0;0;1;0;0;1;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0,
06209-Consultant Global Navigation Satellite System H_F.pdf,72,0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;10;0;0;0;0;1;1;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;2;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;2;0;0;0;1;0;0;0;4;0;0;0;2;0;0;1;1;0;0;0;1;2;0;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0,
06210-Alternant validation activite calculateur HPC F_H.pdf,71,1;0;0;0;3;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;2;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;2;1;1;0;0;1;0;0;0;1;0;1;0;0;0;2;0;0;0;4;0;0;1;1;0;0;0;0;0;1;0;1;0;0;2;1;0;0;0;1;2;0;0;1;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0,
06211-Stage _ Alt Developpeur Liaisons de Donnees H_F.pdf,69,0;0;0;0;1;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;0;0;1;2;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2;0;1;4;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;1;0;2;0;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;2;0;0;1;2;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0,
06212-Developpeur Full Stack en alternance H_F.pdf,72,0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;1;2;0;0;1;0;0;0;0;0;1;0;3;0;0;0;0;0;1;0;0;0;1;0;1;0;3;0;0;0;2;1;0;2;1;0;0;0;1;1;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0,
06213-Stage _ Alt Developpement Telecoms navales H_F.pdf,68,0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;2;1;0;0;1;2;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;2;0;1;1;0;1;1;2;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;1;0;2;0;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;2;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0,
06214-Apprenticeship for BigData Cybersecurity F_H.pdf,53,1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0,
06215-Alternant-Quality Data Analyst.pdf,85,0;0;0;0;1;0;0;0;0;0;1;3;1;7;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;1;0;3;0;0;0;0;0;1;0;0;5;1;0;0;0;0;0;0;4;0;0;0;1;0;1;0;0;0;1;0;0;10;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;5;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;3;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;1;0;2;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0,
06216-Consultant Digital CustomerH_F.pdf,93,0;0;0;0;5;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;10;0;0;0;0;1;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;1;1;0;0;3;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;1;0;0;0;0;3;1;1;0;0;1;0;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;3;0;0;0;1;0;2;0;4;0;1;0;2;0;0;1;1;0;4;0;1;1;0;0;2;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0,
06217-Stage Integration log. Java _ OpenSource Def H_F.pdf,74,1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;2;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;3;0;0;0;2;0;1;2;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;1;0;2;1;0;1;3;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;1;0;2;0;2;0;0;0;1;0;0;1;1;0;2;1;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0,
